id,name,active,plan_id/id,company_id/id,partner_id/id
account_analytic_account_fg_in_02,FG-IN-02,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_it_03,FG-IT-03,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_jp_63,FG-JP-63,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_mo_24,FG-MO-24,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_pe_04,FG-PE-04,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_rc_09,FG-RC-09,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_re_21,FG-RE-21,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_sr_14,FG-SR-14,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_sw_cv,FG-SW-CV,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_sw_dc,FG-SW-DC,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
